Total Time Cost(s):7.274578
18 0 15 -1
19 10 13 -1
20 1 18 -1
21 6 20 -1
22 5 8 -1
23 16 22 -1
24 17 19 -1
25 4 5 -1
26 0 24 -1
27 9 12 -1
28 2 25 -1
29 11 14 -1
30 7 18 -1
31 3 13 -1
32 9 31 -1
33 20 23 -1
34 0 1 7
35 29 33 -1
36 0 1 9
37 21 32 -1
38 15 33 -1
39 0 1 4
40 28 30 -1
41 4 10 -1
42 11 31 -1
43 0 1 12
44 37 38 -1
45 0 1 2
46 12 41 -1
47 19 21 -1
48 14 47 -1
49 0 1 14
50 11 16 -1
51 0 1 11
52 5 39 -1
53 1 24 -1
54 0 1 1
55 7 21 -1
56 0 1 6
57 12 44 -1
58 0 1 3
59 13 27 -1
60 0 1 16
61 38 48 -1
62 0 1 13
63 34 36 -1
64 41 53 -1
65 8 61 -1
66 0 1 17
67 2 21 -1
68 13 66 -1
69 0 1 8
70 24 27 -1
71 0 1 0
72 46 60 -1
73 0 1 10
74 62 63 -1
75 0 1 5
76 1 2 -1
77 42 44 -1
78 0 1 15
