Total Time Cost(s):3.115197
20 13 17 -1
21 2 6 -1
22 0 1 -1
23 15 20 -1
24 12 21 -1
25 6 22 -1
26 7 19 -1
27 8 17 -1
28 14 15 -1
29 2 23 -1
30 0 1 7
31 13 24 -1
32 0 1 5
33 0 11 -1
34 9 25 -1
35 4 19 -1
36 18 20 -1
37 5 16 -1
38 11 26 -1
39 1 10 -1
40 3 4 -1
41 5 40 -1
42 0 21 -1
43 0 1 6
44 0 31 -1
45 0 1 1
46 3 20 -1
47 0 1 8
48 5 7 -1
49 0 1 10
50 7 24 -1
51 0 1 19
52 8 10 -1
53 0 1 18
54 11 35 -1
55 0 1 14
56 14 25 -1
57 0 1 2
58 18 21 -1
59 0 1 9
60 19 23 -1
61 0 1 16
62 22 27 -1
63 0 1 12
64 6 41 -1
65 14 42 -1
66 0 1 15
67 17 63 -1
68 0 1 3
69 22 37 -1
70 0 1 4
71 28 33 -1
72 0 1 13
73 8 15 -1
74 16 38 -1
75 0 1 11
76 16 27 -1
77 39 40 -1
78 0 1 0
79 1 4 -1
80 9 13 -1
81 28 79 -1
82 0 1 17
