Total Time Cost(s):549.822456
22 2 6 -1
23 4 9 -1
24 3 8 -1
25 17 19 -1
26 13 14 -1
27 15 18 -1
28 5 11 -1
29 16 23 -1
30 12 21 -1
31 10 22 -1
32 7 19 -1
33 9 26 -1
34 0 32 -1
35 1 27 -1
36 15 20 -1
37 6 30 -1
38 20 31 -1
39 27 28 -1
40 31 34 -1
41 22 24 -1
42 5 40 -1
43 29 35 -1
44 7 39 -1
45 2 33 -1
46 0 1 6
47 14 37 -1
48 0 1 13
49 16 33 -1
50 4 41 -1
51 11 50 -1
52 17 51 -1
53 9 28 -1
54 12 51 -1
55 13 24 -1
56 30 38 -1
57 11 56 -1
58 36 53 -1
59 0 1 16
60 1 55 -1
61 0 1 20
62 3 57 -1
63 0 1 19
64 25 58 -1
65 43 60 -1
66 8 45 -1
67 0 26 -1
68 0 1 18
69 25 27 -1
70 16 24 -1
71 0 1 15
72 61 62 -1
73 18 23 -1
74 0 1 10
75 19 44 -1
76 0 1 21
77 20 47 -1
78 0 1 17
79 22 25 -1
80 0 1 11
81 25 37 -1
82 0 1 7
83 31 49 -1
84 0 1 14
85 54 57 -1
86 0 1 12
87 0 58 -1
88 24 54 -1
89 65 66 -1
90 0 1 4
91 1 21 -1
92 32 66 -1
93 0 1 8
94 11 81 -1
95 87 88 -1
96 0 1 1
97 1 9 -1
98 75 95 -1
99 0 1 0
100 12 16 -1
101 38 44 -1
102 0 1 2
103 14 58 -1
104 70 72 -1
105 0 1 5
106 0 90 -1
107 91 96 -1
108 100 106 -1
109 0 1 9
110 2 12 -1
111 40 52 -1
112 72 110 -1
113 0 1 3
