Total Time Cost(s):600.112404
22 15 18 -1
23 1 22 -1
24 8 11 -1
25 7 21 -1
26 3 24 -1
27 9 20 -1
28 10 23 -1
29 8 16 -1
30 2 6 -1
31 0 29 -1
32 13 26 -1
33 19 25 -1
34 12 33 -1
35 5 14 -1
36 22 30 -1
37 27 31 -1
38 36 37 -1
39 0 1 8
40 0 4 -1
41 9 26 -1
42 28 32 -1
43 14 34 -1
44 5 17 -1
45 17 23 -1
46 28 29 -1
47 0 1 13
48 0 11 -1
49 13 48 -1
50 0 1 5
51 4 34 -1
52 19 27 -1
53 0 1 16
54 24 51 -1
55 6 54 -1
56 0 1 3
57 18 41 -1
58 12 42 -1
59 20 44 -1
60 5 57 -1
61 0 1 14
62 9 39 -1
63 0 1 1
64 8 47 -1
65 10 25 -1
66 2 49 -1
67 0 1 17
68 15 35 -1
69 0 1 9
70 23 33 -1
71 0 1 10
72 30 41 -1
73 0 1 7
74 32 35 -1
75 0 1 6
76 12 21 -1
77 46 59 -1
78 0 1 20
79 56 65 -1
80 57 64 -1
81 0 1 2
82 14 31 -1
83 58 60 -1
84 0 1 15
85 19 38 -1
86 41 44 -1
87 0 1 0
88 19 45 -1
89 47 49 -1
90 0 1 12
91 31 55 -1
92 59 64 -1
93 0 1 4
94 63 67 -1
95 77 79 -1
96 0 1 11
97 1 10 -1
98 48 82 -1
99 94 97 -1
100 0 1 18
101 2 43 -1
102 84 87 -1
103 97 101 -1
104 0 1 19
105 3 5 -1
106 40 65 -1
107 98 105 -1
108 0 1 21
