Total Time Cost(s):57.883392
22 17 19 -1
23 5 9 -1
24 6 12 -1
25 13 14 -1
26 15 18 -1
27 2 8 -1
28 11 20 -1
29 3 27 -1
30 4 10 -1
31 11 25 -1
32 1 14 -1
33 24 28 -1
34 0 22 -1
35 7 19 -1
36 16 23 -1
37 3 32 -1
38 7 29 -1
39 5 26 -1
40 2 39 -1
41 0 1 6
42 9 30 -1
43 9 38 -1
44 12 16 -1
45 0 36 -1
46 17 29 -1
47 4 18 -1
48 18 35 -1
49 21 26 -1
50 24 32 -1
51 20 49 -1
52 9 25 -1
53 2 33 -1
54 0 1 19
55 4 49 -1
56 0 1 13
57 6 31 -1
58 0 1 18
59 10 43 -1
60 0 1 15
61 13 36 -1
62 0 1 5
63 15 34 -1
64 0 1 9
65 21 37 -1
66 0 1 8
67 22 30 -1
68 0 1 12
69 10 40 -1
70 7 53 -1
71 0 1 2
72 22 44 -1
73 0 1 7
74 5 42 -1
75 48 74 -1
76 0 1 10
77 11 67 -1
78 0 1 14
79 0 1 -1
80 33 48 -1
81 0 1 0
82 1 22 -1
83 69 74 -1
84 0 1 11
85 2 68 -1
86 70 75 -1
87 0 1 17
88 7 50 -1
89 52 59 -1
90 0 1 20
91 14 28 -1
92 45 47 -1
93 0 1 4
94 20 39 -1
95 46 47 -1
96 0 1 16
97 34 41 -1
98 51 52 -1
99 0 1 1
100 1 8 -1
101 31 35 -1
102 62 100 -1
103 0 1 21
104 8 14 -1
105 60 73 -1
106 74 104 -1
107 0 1 3
