Total Time Cost(s):967.312441
24 9 12 -1
25 3 6 -1
26 7 24 -1
27 15 22 -1
28 2 10 -1
29 1 19 -1
30 4 13 -1
31 18 20 -1
32 23 25 -1
33 0 14 -1
34 26 27 -1
35 8 11 -1
36 2 17 -1
37 4 28 -1
38 32 37 -1
39 5 31 -1
40 5 8 -1
41 36 40 -1
42 21 29 -1
43 13 27 -1
44 0 16 -1
45 14 25 -1
46 9 42 -1
47 24 38 -1
48 0 1 14
49 26 45 -1
50 10 34 -1
51 6 50 -1
52 3 39 -1
53 0 1 1
54 35 44 -1
55 0 1 16
56 5 43 -1
57 20 22 -1
58 32 57 -1
59 0 1 7
60 1 35 -1
61 33 39 -1
62 42 61 -1
63 11 46 -1
64 34 62 -1
65 52 56 -1
66 35 65 -1
67 6 20 -1
68 0 12 -1
69 1 32 -1
70 0 1 15
71 8 20 -1
72 0 1 13
73 13 42 -1
74 0 1 3
75 21 22 -1
76 0 1 0
77 29 30 -1
78 0 1 20
79 34 47 -1
80 0 1 9
81 40 62 -1
82 0 1 12
83 34 63 -1
84 2 19 -1
85 51 84 -1
86 0 1 18
87 1 11 -1
88 26 58 -1
89 0 1 22
90 1 24 -1
91 30 62 -1
92 0 1 5
93 2 9 -1
94 66 67 -1
95 0 1 17
96 15 44 -1
97 83 85 -1
98 0 1 23
99 23 30 -1
100 60 83 -1
101 0 1 21
102 26 30 -1
103 54 67 -1
104 0 1 2
105 27 37 -1
106 40 68 -1
107 0 1 8
108 37 41 -1
109 46 52 -1
110 0 1 4
111 49 59 -1
112 3 90 -1
113 81 83 -1
114 0 1 11
115 27 55 -1
116 66 112 -1
117 0 1 19
118 62 101 -1
119 111 112 -1
120 0 1 6
121 7 21 -1
122 23 41 -1
123 44 121 -1
124 0 1 10
