Total Time Cost(s):1478.996359
24 11 18 -1
25 1 13 -1
26 16 22 -1
27 4 19 -1
28 14 15 -1
29 2 20 -1
30 7 8 -1
31 6 9 -1
32 5 27 -1
33 10 21 -1
34 17 25 -1
35 3 30 -1
36 23 35 -1
37 32 34 -1
38 24 32 -1
39 14 37 -1
40 29 38 -1
41 0 26 -1
42 22 33 -1
43 11 25 -1
44 42 43 -1
45 2 37 -1
46 6 16 -1
47 31 39 -1
48 5 28 -1
49 2 46 -1
50 36 45 -1
51 1 22 -1
52 0 1 16
53 9 36 -1
54 0 1 9
55 43 48 -1
56 0 1 17
57 13 40 -1
58 0 1 8
59 3 40 -1
60 28 44 -1
61 41 59 -1
62 3 44 -1
63 10 27 -1
64 9 19 -1
65 31 55 -1
66 0 35 -1
67 57 65 -1
68 7 61 -1
69 12 20 -1
70 15 29 -1
71 15 51 -1
72 21 49 -1
73 7 65 -1
74 0 1 19
75 14 19 -1
76 0 1 20
77 18 60 -1
78 0 1 14
79 11 71 -1
80 23 26 -1
81 0 1 11
82 30 44 -1
83 0 1 10
84 8 60 -1
85 1 49 -1
86 0 1 18
87 41 63 -1
88 0 1 4
89 46 53 -1
90 0 1 23
91 47 62 -1
92 0 1 3
93 10 11 -1
94 49 62 -1
95 0 1 13
96 57 91 -1
97 0 1 2
98 0 20 -1
99 42 45 -1
100 0 1 0
101 4 43 -1
102 67 72 -1
103 0 1 7
104 4 45 -1
105 61 70 -1
106 0 1 1
107 7 45 -1
108 77 79 -1
109 0 1 21
110 12 55 -1
111 66 93 -1
112 0 1 22
113 16 30 -1
114 38 47 -1
115 0 1 15
116 40 63 -1
117 83 84 -1
118 0 1 12
119 7 12 -1
120 19 50 -1
121 106 119 -1
122 0 1 6
123 34 42 -1
124 64 69 -1
125 72 123 -1
126 0 1 5
