Total Time Cost(s):5087.820106
24 0 14 -1
25 18 22 -1
26 10 11 -1
27 13 15 -1
28 1 24 -1
29 16 17 -1
30 7 20 -1
31 12 21 -1
32 4 8 -1
33 19 23 -1
34 2 25 -1
35 5 26 -1
36 3 30 -1
37 27 28 -1
38 9 36 -1
39 4 35 -1
40 32 33 -1
41 23 29 -1
42 6 37 -1
43 7 22 -1
44 42 43 -1
45 31 40 -1
46 13 34 -1
47 16 39 -1
48 17 37 -1
49 0 12 -1
50 27 45 -1
51 15 18 -1
52 29 38 -1
53 24 50 -1
54 30 48 -1
55 14 36 -1
56 11 46 -1
57 51 53 -1
58 0 1 17
59 28 40 -1
60 11 59 -1
61 6 26 -1
62 41 60 -1
63 38 47 -1
64 41 49 -1
65 61 64 -1
66 0 1 9
67 54 60 -1
68 1 10 -1
69 52 68 -1
70 57 67 -1
71 0 1 7
72 63 66 -1
73 0 1 0
74 6 63 -1
75 0 1 15
76 0 13 -1
77 48 76 -1
78 5 47 -1
79 0 1 23
80 8 46 -1
81 0 1 2
82 9 26 -1
83 0 1 6
84 22 27 -1
85 0 1 14
86 34 47 -1
87 0 1 5
88 43 50 -1
89 0 1 20
90 2 43 -1
91 49 90 -1
92 0 1 8
93 4 42 -1
94 46 88 -1
95 0 1 4
96 12 35 -1
97 56 93 -1
98 0 1 18
99 25 85 -1
100 30 88 -1
101 0 1 16
102 4 94 -1
103 98 99 -1
104 0 1 1
105 12 50 -1
106 52 54 -1
107 0 1 10
108 21 32 -1
109 55 56 -1
110 0 1 22
111 25 32 -1
112 38 77 -1
113 0 1 19
114 25 39 -1
115 40 53 -1
116 0 1 21
117 0 20 -1
118 79 82 -1
119 86 117 -1
120 0 1 3
121 1 6 -1
122 46 104 -1
123 118 121 -1
124 0 1 12
125 3 18 -1
126 61 67 -1
127 111 125 -1
128 0 1 11
129 5 42 -1
130 49 108 -1
131 125 129 -1
132 0 1 13
