Total Time Cost(s):11.868792
24 4 10 -1
25 6 18 -1
26 14 22 -1
27 12 25 -1
28 15 24 -1
29 0 1 18
30 3 9 -1
31 16 23 -1
32 1 9 -1
33 2 10 -1
34 5 23 -1
35 7 15 -1
36 3 13 -1
37 1 26 -1
38 7 17 -1
39 8 26 -1
40 13 34 -1
41 18 35 -1
42 2 7 -1
43 0 17 -1
44 0 1 9
45 0 21 -1
46 0 1 7
47 0 24 -1
48 0 1 12
49 14 47 -1
50 0 30 -1
51 0 1 10
52 12 15 -1
53 0 1 21
54 12 36 -1
55 0 1 20
56 16 32 -1
57 0 1 8
58 6 10 -1
59 11 32 -1
60 0 1 6
61 20 28 -1
62 0 1 15
63 3 4 -1
64 7 61 -1
65 0 1 11
66 20 37 -1
67 0 1 19
68 21 31 -1
69 0 1 16
70 4 15 -1
71 17 39 -1
72 0 1 14
73 5 17 -1
74 32 41 -1
75 0 1 3
76 8 30 -1
77 33 38 -1
78 0 1 2
79 11 17 -1
80 25 40 -1
81 0 1 1
82 11 21 -1
83 36 42 -1
84 0 1 22
85 14 19 -1
86 27 42 -1
87 0 1 4
88 16 20 -1
89 43 49 -1
90 0 1 23
91 18 26 -1
92 33 34 -1
93 0 1 5
94 23 29 -1
95 62 63 -1
96 0 1 0
97 48 51 -1
98 56 58 -1
99 0 1 13
100 6 16 -1
101 19 73 -1
102 80 100 -1
103 0 1 17
