Total Time Cost(s):703.553907
24 10 18 -1
25 2 21 -1
26 22 24 -1
27 6 15 -1
28 7 26 -1
29 8 23 -1
30 4 17 -1
31 0 19 -1
32 1 5 -1
33 3 16 -1
34 22 32 -1
35 25 27 -1
36 9 11 -1
37 1 35 -1
38 14 29 -1
39 9 20 -1
40 14 34 -1
41 6 11 -1
42 12 13 -1
43 0 28 -1
44 7 10 -1
45 36 37 -1
46 2 23 -1
47 25 31 -1
48 12 18 -1
49 38 47 -1
50 0 1 12
51 6 8 -1
52 0 46 -1
53 0 1 9
54 4 43 -1
55 17 40 -1
56 0 1 13
57 10 41 -1
58 13 38 -1
59 16 19 -1
60 16 24 -1
61 30 60 -1
62 3 5 -1
63 27 62 -1
64 39 63 -1
65 7 9 -1
66 8 39 -1
67 0 1 11
68 21 42 -1
69 0 1 15
70 28 29 -1
71 0 1 7
72 25 30 -1
73 27 58 -1
74 0 1 4
75 28 37 -1
76 0 1 16
77 33 35 -1
78 0 1 8
79 37 48 -1
80 0 1 21
81 49 51 -1
82 0 1 3
83 20 72 -1
84 1 33 -1
85 68 83 -1
86 0 1 17
87 8 12 -1
88 33 70 -1
89 0 1 6
90 9 10 -1
91 58 64 -1
92 0 1 5
93 11 23 -1
94 82 83 -1
95 0 1 22
96 2 47 -1
97 61 93 -1
98 0 1 2
99 12 40 -1
100 59 65 -1
101 0 1 19
102 13 25 -1
103 44 45 -1
104 0 1 10
105 6 23 -1
106 100 103 -1
107 0 1 20
108 19 20 -1
109 26 35 -1
110 0 1 18
111 38 52 -1
112 54 57 -1
113 0 1 14
114 24 64 -1
115 110 111 -1
116 0 1 23
117 2 6 -1
118 16 64 -1
119 109 117 -1
120 0 1 1
121 5 65 -1
122 69 70 -1
123 72 121 -1
124 0 1 0
