Total Time Cost(s):7921.246965
26 15 18 -1
27 0 1 -1
28 21 25 -1
29 7 9 -1
30 2 23 -1
31 12 13 -1
32 6 16 -1
33 22 24 -1
34 4 8 -1
35 11 17 -1
36 14 26 -1
37 18 20 -1
38 24 28 -1
39 19 37 -1
40 0 22 -1
41 26 27 -1
42 11 40 -1
43 10 35 -1
44 31 41 -1
45 13 29 -1
46 4 9 -1
47 36 46 -1
48 6 15 -1
49 2 21 -1
50 12 25 -1
51 1 49 -1
52 19 41 -1
53 3 9 -1
54 43 47 -1
55 0 1 23
56 16 42 -1
57 30 33 -1
58 0 1 7
59 34 39 -1
60 5 34 -1
61 11 52 -1
62 38 59 -1
63 0 1 22
64 14 56 -1
65 17 44 -1
66 20 51 -1
67 23 34 -1
68 25 37 -1
69 30 45 -1
70 50 51 -1
71 10 34 -1
72 32 41 -1
73 43 48 -1
74 33 36 -1
75 3 38 -1
76 0 1 9
77 5 65 -1
78 0 1 24
79 23 53 -1
80 6 65 -1
81 0 1 4
82 14 60 -1
83 0 1 13
84 20 45 -1
85 0 1 6
86 23 70 -1
87 0 1 2
88 32 68 -1
89 0 1 15
90 45 54 -1
91 0 1 0
92 50 59 -1
93 0 1 5
94 0 32 -1
95 66 67 -1
96 0 1 20
97 4 40 -1
98 44 69 -1
99 0 1 14
100 10 47 -1
101 64 88 -1
102 0 1 12
103 12 35 -1
104 62 67 -1
105 0 1 25
106 31 38 -1
107 8 18 -1
108 26 29 -1
109 49 71 -1
110 0 1 8
111 72 106 -1
112 0 1 3
113 19 22 -1
114 45 70 -1
115 0 1 18
116 21 42 -1
117 104 106 -1
118 0 1 16
119 31 46 -1
120 57 60 -1
121 0 1 11
122 34 100 -1
123 1 24 -1
124 73 122 -1
125 0 1 10
126 61 62 -1
127 107 108 -1
128 0 1 19
129 3 7 -1
130 21 72 -1
131 73 129 -1
132 0 1 17
133 6 9 -1
134 89 121 -1
135 122 133 -1
136 0 1 1
137 10 51 -1
138 53 55 -1
139 61 137 -1
140 0 1 21
