Total Time Cost(s):9594.800015
26 4 14 -1
27 1 24 -1
28 0 25 -1
29 17 22 -1
30 20 23 -1
31 13 21 -1
32 2 7 -1
33 3 6 -1
34 18 19 -1
35 8 27 -1
36 9 11 -1
37 10 16 -1
38 28 32 -1
39 0 5 -1
40 12 38 -1
41 2 29 -1
42 1 34 -1
43 15 30 -1
44 20 26 -1
45 14 36 -1
46 16 31 -1
47 13 27 -1
48 35 39 -1
49 26 48 -1
50 8 17 -1
51 10 47 -1
52 11 44 -1
53 9 37 -1
54 6 35 -1
55 30 41 -1
56 38 39 -1
57 43 51 -1
58 0 1 23
59 6 46 -1
60 54 55 -1
61 20 33 -1
62 25 52 -1
63 24 40 -1
64 50 62 -1
65 16 48 -1
66 43 54 -1
67 19 29 -1
68 55 63 -1
69 61 62 -1
70 22 30 -1
71 42 66 -1
72 0 64 -1
73 0 1 22
74 15 45 -1
75 0 1 10
76 29 38 -1
77 0 1 9
78 68 69 -1
79 0 1 0
80 40 42 -1
81 0 1 25
82 40 45 -1
83 0 1 11
84 1 18 -1
85 51 64 -1
86 0 1 18
87 14 18 -1
88 32 60 -1
89 0 1 21
90 14 47 -1
91 69 70 -1
92 0 1 19
93 14 65 -1
94 67 68 -1
95 0 1 17
96 21 25 -1
97 41 49 -1
98 0 1 1
99 27 44 -1
100 53 60 -1
101 0 1 15
102 27 45 -1
103 57 59 -1
104 0 1 8
105 28 31 -1
106 48 69 -1
107 44 67 -1
108 0 1 6
109 11 12 -1
110 105 106 -1
111 0 1 12
112 34 47 -1
113 52 53 -1
114 0 1 2
115 37 39 -1
116 42 61 -1
117 0 1 7
118 1 5 -1
119 15 33 -1
120 80 118 -1
121 0 1 20
122 2 11 -1
123 33 65 -1
124 71 122 -1
125 0 1 4
126 2 59 -1
127 78 88 -1
128 119 126 -1
129 0 1 3
130 1 10 -1
131 97 99 -1
132 127 130 -1
133 0 1 13
134 4 10 -1
135 28 70 -1
136 71 134 -1
137 0 1 16
138 3 25 -1
139 79 112 -1
140 137 138 -1
141 0 1 5
142 7 72 -1
143 107 113 -1
144 131 142 -1
145 0 1 14
146 2 46 -1
147 116 130 -1
148 143 146 -1
149 0 1 24
