Total Time Cost(s):22828.474006
26 8 16 -1
27 3 7 -1
28 11 13 -1
29 0 6 -1
30 9 25 -1
31 10 14 -1
32 12 26 -1
33 24 28 -1
34 2 32 -1
35 20 27 -1
36 5 21 -1
37 29 30 -1
38 22 35 -1
39 23 33 -1
40 0 17 -1
41 1 19 -1
42 15 36 -1
43 18 37 -1
44 4 38 -1
45 24 34 -1
46 2 31 -1
47 27 40 -1
48 15 25 -1
49 10 39 -1
50 14 39 -1
51 33 44 -1
52 37 50 -1
53 0 1 6
54 22 43 -1
55 4 9 -1
56 38 41 -1
57 20 45 -1
58 3 8 -1
59 48 58 -1
60 7 19 -1
61 21 56 -1
62 13 55 -1
63 18 49 -1
64 37 38 -1
65 42 63 -1
66 45 54 -1
67 26 60 -1
68 36 47 -1
69 46 68 -1
70 0 1 7
71 16 68 -1
72 5 30 -1
73 52 72 -1
74 12 62 -1
75 6 56 -1
76 0 1 4
77 7 29 -1
78 0 1 16
79 30 47 -1
80 0 1 12
81 34 51 -1
82 0 1 20
83 42 58 -1
84 0 1 9
85 51 52 -1
86 0 1 21
87 51 55 -1
88 0 1 1
89 51 67 -1
90 0 1 3
91 24 55 -1
92 1 2 -1
93 64 81 -1
94 0 1 14
95 5 49 -1
96 71 91 -1
97 0 1 17
98 9 48 -1
99 63 66 -1
100 0 1 19
101 11 57 -1
102 59 61 -1
103 0 1 22
104 12 28 -1
105 52 65 -1
106 0 1 5
107 16 34 -1
108 42 56 -1
109 0 1 23
110 40 41 -1
111 19 46 -1
112 2 61 -1
113 111 112 -1
114 20 74 -1
115 0 1 11
116 73 74 -1
117 0 1 13
118 9 45 -1
119 84 113 -1
120 0 1 2
121 17 55 -1
122 57 111 -1
123 0 1 10
124 0 16 -1
125 33 54 -1
126 59 124 -1
127 0 1 8
128 5 6 -1
129 13 54 -1
130 69 128 -1
131 0 1 15
132 5 77 -1
133 91 110 -1
134 119 132 -1
135 0 1 24
136 9 23 -1
137 110 111 -1
138 125 136 -1
139 0 1 0
140 4 29 -1
141 112 129 -1
142 136 141 -1
143 0 1 18
144 73 84 -1
145 103 142 -1
146 0 1 25
