Total Time Cost(s):59079.615869
26 3 7 -1
27 0 6 -1
28 11 13 -1
29 8 16 -1
30 9 25 -1
31 12 27 -1
32 2 10 -1
33 14 24 -1
34 23 28 -1
35 18 26 -1
36 4 19 -1
37 5 22 -1
38 21 30 -1
39 29 31 -1
40 14 38 -1
41 17 33 -1
42 20 37 -1
43 30 39 -1
44 20 43 -1
45 1 36 -1
46 9 35 -1
47 8 15 -1
48 25 41 -1
49 1 47 -1
50 24 28 -1
51 34 45 -1
52 36 48 -1
53 4 40 -1
54 2 44 -1
55 46 54 -1
56 10 27 -1
57 52 56 -1
58 0 1 10
59 43 51 -1
60 33 43 -1
61 35 40 -1
62 39 61 -1
63 0 1 25
64 34 60 -1
65 6 16 -1
66 12 22 -1
67 0 1 6
68 38 42 -1
69 19 68 -1
70 23 59 -1
71 0 1 14
72 24 26 -1
73 27 68 -1
74 50 69 -1
75 3 4 -1
76 0 58 -1
77 5 15 -1
78 22 32 -1
79 56 77 -1
80 49 78 -1
81 7 80 -1
82 26 37 -1
83 10 26 -1
84 66 83 -1
85 17 54 -1
86 0 1 12
87 19 28 -1
88 0 1 1
89 29 74 -1
90 0 1 3
91 38 55 -1
92 0 1 18
93 60 81 -1
94 0 1 2
95 62 64 -1
96 0 1 16
97 6 35 -1
98 47 57 -1
99 0 1 24
100 7 13 -1
101 47 73 -1
102 0 1 9
103 18 42 -1
104 59 76 -1
105 0 1 0
106 34 39 -1
107 77 78 -1
108 0 1 19
109 41 51 -1
110 65 74 -1
111 0 1 21
112 69 81 -1
113 30 84 -1
114 100 112 -1
115 0 1 23
116 32 46 -1
117 110 112 -1
118 0 1 8
119 46 63 -1
120 70 84 -1
121 0 1 11
122 51 53 -1
123 72 73 -1
124 0 1 4
125 1 22 -1
126 51 56 -1
127 88 125 -1
128 0 1 20
129 4 25 -1
130 57 81 -1
131 119 129 -1
132 0 1 22
133 3 66 -1
134 68 76 -1
135 129 133 -1
136 0 1 7
137 1 16 -1
138 44 124 -1
139 134 137 -1
140 0 1 17
141 5 9 -1
142 13 31 -1
143 109 141 -1
144 0 1 13
145 8 17 -1
146 62 78 -1
147 142 145 -1
148 0 1 15
149 12 18 -1
150 28 53 -1
151 79 149 -1
152 0 1 5
