Total Time Cost(s):52.863472
26 0 4 -1
27 22 24 -1
28 7 20 -1
29 21 25 -1
30 14 16 -1
31 24 29 -1
32 1 23 -1
33 8 18 -1
34 9 15 -1
35 17 23 -1
36 27 28 -1
37 0 1 6
38 11 26 -1
39 4 7 -1
40 4 31 -1
41 0 1 9
42 0 1 19
43 15 26 -1
44 18 32 -1
45 0 1 7
46 2 39 -1
47 0 1 14
48 10 30 -1
49 0 1 1
50 6 9 -1
51 19 31 -1
52 0 1 25
53 1 12 -1
54 2 25 -1
55 13 21 -1
56 5 33 -1
57 0 1 13
58 14 33 -1
59 0 1 10
60 21 34 -1
61 0 1 8
62 22 34 -1
63 0 1 12
64 0 18 -1
65 26 30 -1
66 3 6 -1
67 0 1 21
68 28 47 -1
69 0 1 20
70 50 64 -1
71 0 1 23
72 2 8 -1
73 12 27 -1
74 0 1 11
75 9 13 -1
76 15 35 -1
77 28 54 -1
78 0 1 15
79 20 55 -1
80 22 78 -1
81 0 1 18
82 0 3 -1
83 75 76 -1
84 0 1 4
85 5 15 -1
86 17 79 -1
87 0 1 24
88 10 11 -1
89 54 76 -1
90 0 1 2
91 16 20 -1
92 43 53 -1
93 0 1 5
94 22 39 -1
95 43 48 -1
96 0 1 0
97 25 45 -1
98 51 53 -1
99 0 1 16
100 3 19 -1
101 20 25 -1
102 33 100 -1
103 0 1 22
104 6 8 -1
105 40 43 -1
106 55 104 -1
107 0 1 3
108 7 11 -1
109 16 17 -1
110 64 108 -1
111 0 1 17
