Total Time Cost(s):681.918406
26 9 18 -1
27 0 15 -1
28 22 24 -1
29 2 23 -1
30 7 26 -1
31 18 21 -1
32 1 4 -1
33 20 25 -1
34 11 17 -1
35 10 16 -1
36 13 27 -1
37 6 8 -1
38 7 35 -1
39 4 30 -1
40 14 38 -1
41 17 36 -1
42 19 23 -1
43 1 25 -1
44 29 30 -1
45 0 31 -1
46 13 44 -1
47 0 1 15
48 20 28 -1
49 11 48 -1
50 33 45 -1
51 10 15 -1
52 12 41 -1
53 3 26 -1
54 24 31 -1
55 42 54 -1
56 1 55 -1
57 34 43 -1
58 0 1 25
59 8 12 -1
60 21 39 -1
61 0 1 8
62 40 41 -1
63 0 1 0
64 6 62 -1
65 27 32 -1
66 12 49 -1
67 0 1 16
68 14 30 -1
69 0 1 6
70 22 32 -1
71 0 1 14
72 23 52 -1
73 0 1 4
74 24 39 -1
75 0 1 19
76 37 43 -1
77 34 38 -1
78 0 1 17
79 36 39 -1
80 0 1 23
81 76 79 -1
82 15 47 -1
83 0 1 20
84 16 74 -1
85 0 1 3
86 18 49 -1
87 84 86 -1
88 0 1 9
89 5 48 -1
90 15 40 -1
91 0 1 1
92 27 38 -1
93 0 1 12
94 5 20 -1
95 21 52 -1
96 0 1 24
97 6 29 -1
98 51 57 -1
99 0 1 2
100 7 34 -1
101 37 68 -1
102 0 1 10
103 8 65 -1
104 86 89 -1
105 0 1 13
106 12 16 -1
107 33 103 -1
108 0 1 5
109 13 28 -1
110 29 59 -1
111 0 1 11
112 13 53 -1
113 61 64 -1
114 0 1 21
115 15 21 -1
116 22 56 -1
117 0 1 7
118 19 47 -1
119 48 56 -1
120 0 1 18
121 8 19 -1
122 24 33 -1
123 53 121 -1
124 0 1 22
