Total Time Cost(s):4452.539302
26 1 13 -1
27 8 15 -1
28 11 21 -1
29 10 25 -1
30 12 24 -1
31 6 23 -1
32 19 20 -1
33 17 26 -1
34 1 28 -1
35 4 21 -1
36 2 27 -1
37 13 23 -1
38 0 29 -1
39 9 33 -1
40 25 30 -1
41 3 12 -1
42 18 22 -1
43 14 16 -1
44 5 39 -1
45 19 22 -1
46 3 34 -1
47 7 36 -1
48 8 35 -1
49 4 37 -1
50 24 27 -1
51 26 29 -1
52 32 41 -1
53 49 52 -1
54 0 46 -1
55 5 21 -1
56 22 23 -1
57 2 32 -1
58 9 42 -1
59 25 31 -1
60 1 40 -1
61 10 16 -1
62 55 57 -1
63 16 19 -1
64 5 14 -1
65 17 34 -1
66 6 40 -1
67 11 43 -1
68 9 29 -1
69 0 1 6
70 15 25 -1
71 0 1 22
72 22 50 -1
73 0 1 8
74 27 29 -1
75 0 1 20
76 28 44 -1
77 0 1 25
78 29 39 -1
79 0 1 4
80 30 53 -1
81 0 1 1
82 36 52 -1
83 0 1 14
84 51 55 -1
85 36 63 -1
86 0 1 18
87 37 65 -1
88 0 1 3
89 44 59 -1
90 0 1 11
91 48 59 -1
92 0 1 7
93 54 56 -1
94 0 1 21
95 0 6 -1
96 58 78 -1
97 0 1 15
98 3 35 -1
99 57 61 -1
100 0 1 9
101 8 14 -1
102 58 91 -1
103 0 1 17
104 15 28 -1
105 56 60 -1
106 0 1 23
107 17 30 -1
108 38 48 -1
109 0 1 24
110 18 26 -1
111 66 74 -1
112 0 1 19
113 18 37 -1
114 50 67 -1
115 0 1 13
116 20 71 -1
117 72 98 -1
118 0 1 16
119 41 43 -1
120 48 58 -1
121 0 1 2
122 52 75 -1
123 84 85 -1
124 0 1 10
125 0 13 -1
126 7 106 -1
127 41 47 -1
128 61 125 -1
129 0 1 0
130 44 50 -1
131 103 112 -1
132 126 130 -1
133 0 1 5
134 56 67 -1
135 88 125 -1
136 126 134 -1
137 0 1 12
